,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Subject:L_Asis,Subject:L_Asis,Subject:L_Asis,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Heel,Subject:L_Heel,Subject:L_Heel,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Mall,Subject:L_Mall,Subject:L_Mall,Subject:L_Met,Subject:L_Met,Subject:L_Met,Subject:R_Asis,Subject:R_Asis,Subject:R_Asis,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Heel,Subject:R_Heel,Subject:R_Heel,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Mall,Subject:R_Mall,Subject:R_Mall,Subject:R_Met,Subject:R_Met,Subject:R_Met,Subject:Sacrum,Subject:Sacrum,Subject:Sacrum
,ID,"8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.060000,0.101177,0.980756,-0.168912,0.189719,0.695680,-0.207127,0.168503,0.335457,-0.261174,0.089570,0.057470,-0.370790,0.135829,0.500626,-0.232928,0.130941,0.069052,-0.313400,0.077009,0.039152,-0.162270,-0.186761,0.976685,-0.150276,-0.275757,0.697922,-0.226365,-0.259163,0.324003,-0.263997,-0.168114,0.052314,-0.367398,-0.225733,0.518907,-0.248370,-0.211688,0.080012,-0.306736,-0.156582,0.037005,-0.152469,-0.056044,0.992797,-0.371345
7,0.070000,0.101174,0.980728,-0.168960,0.189691,0.695675,-0.207177,0.168485,0.335455,-0.261197,0.089558,0.057484,-0.370794,0.135813,0.500629,-0.232968,0.130928,0.069062,-0.313418,0.076997,0.039161,-0.162271,-0.186774,0.976694,-0.150302,-0.275759,0.697932,-0.226388,-0.259165,0.324001,-0.264017,-0.168127,0.052340,-0.367406,-0.225753,0.518940,-0.248406,-0.211692,0.080017,-0.306737,-0.156603,0.037086,-0.152467,-0.056055,0.992792,-0.371387
8,0.080000,0.101170,0.980690,-0.169004,0.189664,0.695664,-0.207230,0.168466,0.335451,-0.261219,0.089538,0.057510,-0.370805,0.135782,0.500624,-0.233025,0.130922,0.069065,-0.313433,0.076987,0.039184,-0.162285,-0.186783,0.976699,-0.150327,-0.275781,0.697973,-0.226427,-0.259166,0.323996,-0.264041,-0.168144,0.052381,-0.367418,-0.225786,0.518992,-0.248449,-0.211691,0.080020,-0.306743,-0.156591,0.037183,-0.152472,-0.056069,0.992789,-0.371434
9,0.090000,0.101163,0.980646,-0.169041,0.189643,0.695654,-0.207283,0.168453,0.335444,-0.261240,0.089521,0.057534,-0.370817,0.135753,0.500613,-0.233085,0.130920,0.069063,-0.313442,0.076984,0.039206,-0.162302,-0.186790,0.976702,-0.150349,-0.275816,0.698030,-0.226473,-0.259170,0.323998,-0.264055,-0.168163,0.052401,-0.367428,-0.225817,0.519035,-0.248486,-0.211688,0.080018,-0.306749,-0.156557,0.037236,-0.152478,-0.056089,0.992789,-0.371485
10,0.100000,0.101153,0.980598,-0.169068,0.189630,0.695647,-0.207337,0.168449,0.335434,-0.261258,0.089510,0.057550,-0.370828,0.135741,0.500605,-0.233130,0.130919,0.069059,-0.313444,0.076984,0.039201,-0.162306,-0.186797,0.976703,-0.150371,-0.275843,0.698073,-0.226512,-0.259183,0.324011,-0.264053,-0.168177,0.052390,-0.367434,-0.225838,0.519055,-0.248513,-0.211686,0.080014,-0.306753,-0.156527,0.037225,-0.152491,-0.056114,0.992792,-0.371534
11,0.110000,0.101143,0.980542,-0.169085,0.189625,0.695645,-0.207391,0.168455,0.335422,-0.261271,0.089504,0.057563,-0.370840,0.135748,0.500611,-0.233154,0.130920,0.069056,-0.313440,0.076985,0.039171,-0.162295,-0.186807,0.976706,-0.150393,-0.275856,0.698089,-0.226536,-0.259198,0.324030,-0.264041,-0.168182,0.052369,-0.367434,-0.225853,0.519050,-0.248531,-0.211684,0.080006,-0.306755,-0.156515,0.037156,-0.152518,-0.056142,0.992800,-0.371574
12,0.120000,0.101134,0.980467,-0.169090,0.189625,0.695646,-0.207444,0.168466,0.335405,-0.261280,0.089503,0.057564,-0.370848,0.135769,0.500629,-0.233164,0.130922,0.069054,-0.313431,0.076994,0.039147,-0.162282,-0.186821,0.976711,-0.150417,-0.275856,0.698081,-0.226547,-0.259207,0.324043,-0.264034,-0.168175,0.052334,-0.367430,-0.225862,0.519023,-0.248540,-0.211684,0.079995,-0.306757,-0.156523,0.037056,-0.152544,-0.056172,0.992809,-0.371605
13,0.130000,0.101129,0.980422,-0.169106,0.189625,0.695647,-0.207495,0.168474,0.335388,-0.261288,0.089518,0.057537,-0.370845,0.135791,0.500648,-0.233174,0.130926,0.069051,-0.313417,0.077007,0.039145,-0.162279,-0.186835,0.976717,-0.150440,-0.275840,0.698048,-0.226544,-0.259210,0.324052,-0.264034,-0.168164,0.052281,-0.367425,-0.225867,0.518987,-0.248545,-0.211687,0.079985,-0.306759,-0.156548,0.036991,-0.152557,-0.056197,0.992818,-0.371634
14,0.140000,0.101134,0.980462,-0.169159,0.189618,0.695646,-0.207543,0.168476,0.335385,-0.261301,0.089542,0.057490,-0.370831,0.135801,0.500667,-0.233195,0.130936,0.069047,-0.313400,0.077012,0.039171,-0.162287,-0.186845,0.976722,-0.150462,-0.275817,0.698005,-0.226536,-0.259213,0.324058,-0.264040,-0.168155,0.052232,-0.367420,-0.225871,0.518966,-0.248557,-0.211691,0.079977,-0.306762,-0.156586,0.036993,-0.152554,-0.056212,0.992823,-0.371662
15,0.150000,0.101142,0.980521,-0.169223,0.189603,0.695642,-0.207587,0.168473,0.335402,-0.261324,0.089556,0.057461,-0.370820,0.135795,0.500694,-0.233227,0.130943,0.069045,-0.313391,0.077009,0.039228,-0.162311,-0.186849,0.976724,-0.150483,-0.275800,0.697981,-0.226540,-0.259215,0.324062,-0.264051,-0.168154,0.052205,-0.367420,-0.225874,0.518972,-0.248580,-0.211694,0.079976,-0.306766,-0.156629,0.037052,-0.152540,-0.056213,0.992822,-0.371692
